date,country,n,score
2019-04-29,Spain,90295,0.5860196044188494
2019-04-30,Spain,84470,0.5991881557712797
2019-05-01,Spain,87040,0.5962723338350184
2019-05-02,Spain,84883,0.5937166371829459
2019-05-03,Spain,80713,0.6002599634383556
2019-05-04,Spain,80386,0.6034108280048763
2019-05-05,Spain,85836,0.5970735288923062
2019-05-06,Spain,82652,0.5930347704471761
2019-05-07,Spain,89636,0.5881005720581017
2019-05-08,Spain,86512,0.5949775291289069
2019-05-09,Spain,88336,0.599745842408531
2019-05-10,Spain,84926,0.6016194356616348
2019-05-11,Spain,79921,0.6020758500018768
2019-05-12,Spain,88749,0.5929878714915097
2019-05-13,Spain,86188,0.590137705365016
2019-05-14,Spain,90492,0.5918927556690093
2019-05-15,Spain,84193,0.5952467592317651
2019-05-16,Spain,91338,0.5997510563620837
2019-05-17,Spain,85839,0.604423438891413
2019-05-18,Spain,104249,0.6093234948824449
2019-05-19,Spain,91772,0.593565244301094
2019-05-20,Spain,93541,0.5904245703167595
2019-05-21,Spain,91604,0.5963459154185407
2019-05-22,Spain,89976,0.6006797190695297
2019-05-23,Spain,91042,0.6038369186199776
2019-05-24,Spain,86452,0.6019222875931153
2019-05-25,Spain,91779,0.5976677527647937
2019-05-26,Spain,98126,0.5894051327375008
2019-05-27,Spain,91697,0.5895624826330197
2019-05-28,Spain,88559,0.5925090281055568
2019-05-29,Spain,86973,0.5954599603210191
2019-05-30,Spain,89665,0.5997933681369542
2019-05-31,Spain,86699,0.6072805040427225
2019-06-01,Spain,88958,0.5985830659524719
2019-06-02,Spain,91914,0.5925109927432165
2019-06-03,Spain,86201,0.5947395980441063
2019-06-04,Spain,91487,0.5970706089061834
2019-06-05,Spain,87081,0.5969701240913632
2019-06-06,Spain,31645,0.6061977647337652
2019-06-07,Spain,15,0.716369
2019-06-08,Spain,12,0.64633175
2019-06-09,Spain,11,0.6008668181818182
2019-06-10,Spain,15,0.5651259333333333
2019-06-11,Spain,10,0.6562547999999999
